date,unit_id,metric
2024-01-01,Birmingham,57538.72
2024-01-08,Birmingham,57791.71
2024-01-15,Birmingham,58025.88
2024-01-22,Birmingham,57809.58
2024-01-29,Birmingham,59237.25
2024-02-05,Birmingham,61193.63
2024-02-12,Birmingham,61569.3
2024-02-19,Birmingham,60086.4
2024-02-26,Birmingham,58458.19
2024-03-04,Birmingham,63494.41
2024-03-11,Birmingham,64176.19
2024-03-18,Birmingham,62936.43
2024-03-25,Birmingham,62386.44
2024-04-01,Birmingham,63451.22
2024-04-08,Birmingham,63764.3
2024-04-15,Birmingham,63850.46
2024-04-22,Birmingham,63565.38
2024-04-29,Birmingham,62624.3
2024-05-06,Birmingham,61839.17
2024-05-13,Birmingham,62465.09
2024-05-20,Birmingham,62190.52
2024-05-27,Birmingham,64231.92
2024-06-03,Birmingham,63409.73
2024-06-10,Birmingham,63035.82
2024-06-17,Birmingham,63204.54
2024-06-24,Birmingham,64276.32
2024-07-01,Birmingham,61414.1
2024-07-08,Birmingham,62625.61
2024-07-15,Birmingham,60858.57
2024-07-22,Birmingham,61151.15
2024-07-29,Birmingham,61022.52
2024-08-05,Birmingham,63585.65
2024-08-12,Birmingham,61175.8
2024-08-19,Birmingham,60543.14
2024-08-26,Birmingham,60061.31
2024-09-02,Birmingham,60722.73
2024-09-09,Birmingham,62814.12
2024-09-16,Birmingham,60174.22
2024-09-23,Birmingham,60903.77
2024-09-30,Birmingham,65163.74
2024-10-07,Birmingham,63069.69
2024-10-14,Birmingham,63292.43
2024-10-21,Birmingham,62827.24
2024-10-28,Birmingham,62501.83
2024-11-04,Birmingham,63289.2
2024-11-11,Birmingham,64129.57
2024-11-18,Birmingham,63618.08
2024-11-25,Birmingham,63391.96
2024-12-02,Birmingham,63549.31
2024-12-09,Birmingham,65259.59
2024-12-16,Birmingham,66239.69
2024-12-23,Birmingham,69293.05
2024-12-30,Birmingham,66913.17
2025-01-06,Birmingham,67975.02
2025-01-13,Birmingham,67275.75
2025-01-20,Birmingham,70727.31
2025-01-27,Birmingham,71981.28
2025-02-03,Birmingham,70814.88
2025-02-10,Birmingham,71608.23
2025-02-17,Birmingham,71977.27
2025-02-24,Birmingham,72300.05
2025-03-03,Birmingham,71605.2
2025-03-10,Birmingham,75878.42
2025-03-17,Birmingham,73902.23
2025-03-24,Birmingham,74043.05
2025-03-31,Birmingham,75706.11
2025-04-07,Birmingham,74624.98
2025-04-14,Birmingham,74678.93
2025-04-21,Birmingham,74299.76
2025-04-28,Birmingham,75238.17
2025-05-05,Birmingham,75389.0
2025-05-12,Birmingham,75333.18
2024-01-01,Bristol,61272.25
2024-01-08,Bristol,60980.63
2024-01-15,Bristol,61702.69
2024-01-22,Bristol,61014.62
2024-01-29,Bristol,64930.01
2024-02-05,Bristol,65945.51
2024-02-12,Bristol,65418.16
2024-02-19,Bristol,64973.48
2024-02-26,Bristol,66814.8
2024-03-04,Bristol,65773.64
2024-03-11,Bristol,62927.54
2024-03-18,Bristol,67217.2
2024-03-25,Bristol,67601.21
2024-04-01,Bristol,66899.29
2024-04-08,Bristol,66421.17
2024-04-15,Bristol,68500.55
2024-04-22,Bristol,67589.2
2024-04-29,Bristol,68743.32
2024-05-06,Bristol,67285.91
2024-05-13,Bristol,69804.28
2024-05-20,Bristol,69504.47
2024-05-27,Bristol,68073.64
2024-06-03,Bristol,67540.42
2024-06-10,Bristol,67679.29
